"Yehhpay","Yehhpay"
"Live", "Live"
"Test", "Test"
"Enabled", "Ingeschakeld"
"Payment mode", "Payment mode"
"Application key", "Applicatie key"
"Application secret", "Applicatie secret"
"Frontend label", "Naam betaalmethode"
"Payment from Specific Countries", "Payment from Specific Countries"
"Minimum Order Total","Minimum Order Total"
"Maximum Order Total","Maximum Order Total"
"For orders below this amount this payment method is unavailable.", "Voor bestellingen beneden dit bedrag zal deze betaalmethode niet beschikbaar zijn."
"For orders above this amount this payment method is unavailable. Yehhpay does not accept orders over € 300.", "Voor bestellingen boven dit bedrag zal deze betaalmethode niet beschikbaar zijn. Yehhpay accepteert orders tot maximaal € 300,-."
"Approved by consumer and Yehhpay", "Goedgekeurd door klant en Yehhpay"
"Not approved by consumer or Yehhpay", "Niet goedgekeurd door klant of Yehhpay"
"Canceled", "Geannuleerd"
"Expired", "Verlopen"
"Error: System error during request", "Foutmelding: Systeemfout tijdens aanvraag"
"Yehhpay Transaction", "Yehhpay Transactie"
"Cost", "Kosten"
"Suspend transaction", "Transactie opschorten"
"Resume transaction", "Transactie hervatten"
"Id", "Id"
"Pay afterwards with Yehhpay","Achteraf betalen met Yehhpay"
"Check on billing and delivery addresses","Controleer factuur- en verzendadres"
"Yehhpay requires that your billing and sipping address are the same.", "Yehhpay vereist dat uw factuuradres en uw verzendadres gelijk zijn."
"Yehhpay transaction is not completed and approved. Please try to re-order.", "De Yehhpay transactie is nog niet afgerond. Probeer het opnieuw."
"Payment success status","Succesvolle betaling status"
"Payment failed status","Afgebroken betaling status"
"Shipping Cost","Verzendkosten"
"Please fill in this field","Vul a.u.b. dit veld in"
"<h3>Need help?</h3><p>This is the official Yehhpay extension for Magento 1. The extension is developed by <a href='https://www.wezz.nl/' target='_blank'>Wezz e-Commerce</a>. Do you need help? Read our documentation, FAQ or ask us a question. </p><h3>Signup and Authentification</h3><p>Don't have an account yet? Obtain your account credentials here. (new window)</p>","<h3>Hulp nodig?</h3><p>Dit is de offici&euml;le Yehhpay extensie voor Magento 1. Deze extensie is ontwikkeld door <a href='https://www.wezz.nl/' target='_blank'>Wezz e-Commerce B.V.</a>. Bekijk ook de <a href='https://www.wezz.co/extensions/yehhpay' target='_blank'>handleiding en FAQ</a> van deze extensie.</p><h3>Aanmelden voor Yehhpay</h3><p>Heb je nog geen account bij Yehhpay? Meld je dan eerst <a href='https://account.postcode.nl/registreer' target='_blank'>hier</a> aan.</p>"